id,time,event,option1
1,29.0000,Google,Intern Research
1,29.2521,UC Berkeley,Graduate Student Research
1,34.0849,Google,Sr Research Science
6,29.0000,Google,Software Eng Intern
6,30.0000,Google,Software Eng Intern
6,32.0027,Google,Software Eng Intern
6,32.2548,eBay,Software Eng Intern
6,32.5918,Baidu,Software Eng
6,33.5068,Google,Software Eng
8,31.0000,Microsoft,Software Eng Intern
8,32.0849,LinkedIn,Software Eng Intern
8,32.9178,UCLA,Graduate Teaching Assistant
10,22.0000,NVIDIA,Sr Software Manage
10,31.0055,Google,Director Eng
12,29.0000,ZTE,Staff Software Eng
12,32.4219,Huawei,Sr Software Eng
12,36.3397,Huawei,Sr Eng team Lead
14,28.0000,Sun MicroSystem,Eng Manage
14,35.5863,Sun MicroSystem,Director Eng
14,37.5014,Sun MicroSystem,Director Market
14,39.5890,Sun MicroSystem,Sr Director Market
14,41.4192,Sun MicroSystem,Sr Director Market
14,42.5041,Sun MicroSystem,Sr Director Market
14,45.0110,Oracle,Director Product Manage
14,45.5918,Nokia,Architect Advanced Dev Tech Group CTO
14,46.9260,Nokia,Head Advanced Software Eng
14,48.1753,Nokia,Vice President Advanced Eng
15,26.0000,Yahoo,Science
15,33.3342,Netflix,Sr Science
15,36.1671,Amazon,Sr Research Science
18,24.0000,Accenture,Strategy Consult
18,27.0027,Yahoo,Sr Manage Business Operation
18,30.0055,Yahoo,Sr Product Manage Yahoo Front page
18,31.0055,LinkedIn,Director Business Operation Analyst
19,29.0000,UCLA,Research Intern
19,30.5890,UCLA,Research Intern
19,32.0027,IBM,Software Eng Intern Big Team
21,22.0000,Cisco,Tech Lead Eng
21,25.6740,Microsoft,Tech Lead Sr Software Dev Eng
22,29.0000,Tata Consultancy Service,System Analyst
22,30.4137,Tata Consultancy Service,Functional Consult
22,32.0849,Tata Consultancy Service,Database Administrator
22,33.1726,UNC Charlotte,Graduate Assistant
26,29.0000,Cornell University,Teaching Assistant
26,30.4192,Google,Software Eng
32,22.0000,Google,Eng
32,25.7507,Microsoft,Associated Research 
37,29.0000,Yahoo,Software Eng
37,31.9178,Yahoo,Sr Software Eng
37,34.2548,Microsoft,Sr Software Eng
37,34.3315,Google,Sr Software Eng
37,37.7534,Baidu,Sr Architect
38,30.0000,Microsoft,Summer Intern
38,33.1699,Yahoo,Sr Research Eng
38,34.0027,Microsoft,Software Dev Eng
38,35.1699,Google,Software Eng
38,36.3425,Google,Software Eng
40,26.0000,StanfoResearch Dev University,Head Teaching assistant
40,26.3342,Nokia,Research Intern
41,24.0000,University WisconsinMadison,Software Eng
41,25.8384,University WisconsinMadison,Graduate Student
41,27.2521,Microsoft,Software Dev Eng
41,28.8411,Microsoft,Software Eng
41,30.6740,Microsoft,Software Eng
42,31.0000,Microsoft,Program Manage NET Framework
42,34.3370,Google,Product Manage Google App Eng
